Date,Open,High,Low,Close,Volume
2022.01.16,43263.35,43496.43,42597.96,42943.67,94491
2022.01.17,42943.67,43289.42,41593.19,41722.71,120913
2022.01.18,41688.08,42491.74,41258.7,42374.24,153024
2022.01.19,42345.36,42675.2,41123.97,41695.01,153775
2022.01.20,41677.09,43501.87,41278.38,41309.99,135832
2022.01.21,41305.99,41510.87,36105.72,36639.29,261592
2022.01.22,36624.79,37166.06,34405.91,35358.18,61418
2022.01.23,35385.02,36151.69,34590.05,35334.86,178191
2022.01.24,35334.86,37560.35,32899.59,36776.57,285156
2022.01.25,36810.45,37558.36,35694.72,36551.01,234674
2022.01.26,36550.51,38915.67,36309.49,36320.99,219620
2022.01.27,36316.99,37209.47,35491.73,36179.73,209393
2022.01.28,36180.23,38012.6,35900,37773.86,207594
2022.01.29,37781.38,38663.63,37325.51,38365.84,62102
2022.01.30,38355.51,38404.01,37329.51,37718.01,93122
2022.01.31,37737.01,38757.4,36631.08,38414.26,154344
2022.02.01,38426.5,39284.92,37980.75,38807.76,159406
2022.02.02,38805.26,38908.29,36571.26,36923.26,150520
2022.02.03,36924.01,37238.92,36259.89,36953.01,156805
2022.02.04,36957.76,40911.61,36793.47,40625.51,156019
2022.02.05,40624.5,41952.49,40379.94,41662.5,62979
2022.02.06,41663,42204.76,41116.4,41657.67,79713
2022.02.07,41674.51,44552.2,41483.43,44081.71,159969
2022.02.08,44091.96,45510.62,42686.72,44203.15,163187
2022.02.09,44223.5,44846.09,43129.01,44461.76,125821
2022.02.10,44478.5,45833.21,43182.01,43741.09,171559
2022.02.11,43765.51,44077.02,42037.76,42542.76,175213
2022.02.12,42544.51,43039.47,41733.15,41875.51,113506
2022.02.13,41874,42765.82,41842.5,42192.76,94992
2022.02.14,42235.5,42855.52,41537.76,42223.58,147768
2022.02.15,42229.51,44529.02,42227.5,43978.83,132400
2022.02.16,43972.83,44779.68,43315.01,44087.15,131835
2022.02.17,44091.58,44204.03,40056.52,40674.69,164015
2022.02.18,40682.5,40982.36,39422.76,39958.34,155524
2022.02.19,39954.84,40466.89,39653.5,39917.99,58037
2022.02.20,39941.5,40148.3,37949.1,38237.51,106402
2022.02.21,38263.51,39495.76,37004,37026.76,198972
2022.02.22,37078.51,38299.74,36335.5,37871.01,222224
2022.02.23,37874.01,39253.27,37385.02,37510.35,151963
2022.02.24,37535.5,39816.76,34313.62,38398.51,274920
2022.02.25,38393.26,39692.48,37754.76,38979.5,194298
2022.02.26,38985.01,40287.76,38567.71,39434.76,114324
2022.02.27,39427.76,39866.01,36980.11,37408.51,148779
2022.02.28,37417.05,41956.17,37322.01,41623.6,208540
2022.03.01,41635.5,44979.83,41635.5,43878.51,199757
2022.03.02,43892.5,45295.01,43324.17,44058.51,182517
2022.03.03,44054.26,44342.88,41806.74,42092.51,148872
2022.03.04,42113.51,42689.57,39050.76,39365.12,184187
2022.03.05,39392.5,39602.51,38535.26,39341.52,78610
2022.03.06,39352.5,39683,38080.6,38988.76,111532
2022.03.07,39026.51,39538.93,37146.71,37801.96,185732
2022.03.08,37803.96,39369.04,37771,38466.51,205304
